date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,date,new_cases,new_deaths,total_cases,total_deaths
2020-03-09,28,15,0.0,11.6,1,1,100,06:04 PM,05:48 AM,05:47 AM,05:47 PM,13,23,23,21,18,5,68,0.0,1013,28,10,53,13,Costa%20Rica,2020-03-09,4.0,0.0,9.0,0.0
2020-03-10,28,12,0.0,10.2,1,1,100,07:03 PM,06:38 AM,05:46 AM,05:47 PM,11,21,21,20,19,27,68,0.2,1014,28,10,51,12,Costa%20Rica,2020-03-10,0.0,0.0,9.0,0.0
2020-03-11,30,12,0.0,11.6,1,1,84,08:01 PM,07:27 AM,05:45 AM,05:47 PM,12,21,21,20,16,20,66,0.2,1012,30,10,48,10,Costa%20Rica,2020-03-11,4.0,0.0,13.0,0.0
2020-03-12,28,13,0.0,10.2,1,1,76,08:58 PM,08:16 AM,05:45 AM,05:47 PM,14,21,21,20,14,49,75,1.6,1011,28,10,50,8,Costa%20Rica,2020-03-12,0.0,0.0,13.0,0.0
2020-03-13,30,11,0.0,10.2,1,1,69,09:56 PM,09:06 AM,05:44 AM,05:47 PM,14,18,19,18,11,52,80,2.7,1013,30,8,36,7,Costa%20Rica,2020-03-13,9.0,0.0,22.0,0.0
2020-03-14,29,15,0.0,10.2,1,1,62,10:54 PM,09:57 AM,05:44 AM,05:47 PM,16,20,20,20,13,39,79,0.8,1014,29,8,44,9,Costa%20Rica,2020-03-14,1.0,0.0,23.0,0.0
2020-03-15,29,16,0.0,11.6,1,1,55,11:51 PM,10:49 AM,05:43 AM,05:47 PM,14,22,22,21,13,10,69,0.0,1014,29,10,50,11,Costa%20Rica,2020-03-15,0.0,0.0,23.0,0.0
2020-03-16,29,14,0.0,11.6,1,1,47,No moonrise,11:43 AM,05:43 AM,05:47 PM,14,22,22,21,13,16,71,0.0,1014,29,10,48,10,Costa%20Rica,2020-03-16,0.0,0.0,23.0,0.0
2020-02-26,9,3,0.0,4.1,1,1,15,08:14 AM,08:24 PM,06:41 AM,05:38 PM,3,4,6,4,15,84,80,19.2,1000,9,8,67,10,Croatia,2020-02-26,0.0,0.0,2.0,0.0
2020-02-27,10,3,0.0,8.7,1,1,23,08:34 AM,09:26 PM,06:39 AM,05:39 PM,-2,4,6,4,14,41,60,0.0,1007,10,10,224,10,Croatia,2020-02-27,1.0,0.0,3.0,0.0
2020-02-28,11,5,0.0,8.7,1,1,30,08:55 AM,10:27 PM,06:38 AM,05:41 PM,-3,5,7,5,20,42,52,2.9,1013,11,10,347,14,Croatia,2020-02-28,0.0,0.0,3.0,0.0
2020-02-29,10,2,0.0,7.2,1,1,38,09:18 AM,11:30 PM,06:36 AM,05:42 PM,-2,4,6,4,20,37,55,0.0,1015,10,10,225,13,Croatia,2020-02-29,2.0,0.0,5.0,0.0
2020-03-01,14,8,0.0,4.2,1,1,44,09:44 AM,No moonset,06:34 AM,05:43 PM,4,8,10,8,19,90,68,2.3,1007,14,9,203,13,Croatia,2020-03-01,2.0,0.0,7.0,0.0
2020-03-02,15,8,0.0,5.7,1,1,51,10:14 AM,12:34 AM,06:32 AM,05:45 PM,6,11,12,11,18,80,68,6.5,1000,15,9,215,12,Croatia,2020-03-02,0.0,0.0,7.0,0.0
2020-03-03,15,8,0.0,5.7,1,1,58,10:51 AM,01:39 AM,06:30 AM,05:46 PM,5,11,11,11,13,61,64,0.6,999,15,10,248,9,Croatia,2020-03-03,1.0,0.0,8.0,0.0
2020-03-04,11,6,0.0,8.7,1,1,65,11:37 AM,02:42 AM,06:28 AM,05:47 PM,0,7,8,7,10,47,59,0.5,1011,11,9,28,8,Croatia,2020-03-04,1.0,0.0,9.0,0.0
2020-03-05,11,5,0.0,8.7,1,1,73,12:32 PM,03:42 AM,06:27 AM,05:49 PM,-1,7,8,7,9,21,54,0.0,1010,11,10,186,6,Croatia,2020-03-05,0.0,0.0,9.0,0.0
2020-03-06,12,6,0.0,4.2,1,1,80,01:39 PM,04:35 AM,06:25 AM,05:50 PM,4,7,8,7,10,76,75,1.3,1000,12,7,210,7,Croatia,2020-03-06,1.0,0.0,10.0,0.0
2020-03-07,11,6,0.0,4.2,1,1,87,02:54 PM,05:21 AM,06:23 AM,05:52 PM,3,7,8,7,7,86,73,0.8,1012,11,10,192,5,Croatia,2020-03-07,1.0,0.0,11.0,0.0
2020-03-08,10,4,0.0,8.7,1,1,95,04:14 PM,06:00 AM,06:21 AM,05:53 PM,0,7,8,7,7,12,60,0.1,1021,10,10,32,6,Croatia,2020-03-08,0.0,0.0,11.0,0.0
2020-03-09,12,3,0.0,8.7,1,1,100,05:36 PM,06:33 AM,06:19 AM,05:54 PM,-1,8,8,8,5,30,57,0.0,1015,12,10,114,3,Croatia,2020-03-09,0.0,0.0,11.0,0.0
2020-03-10,14,6,0.0,8.7,1,1,100,06:57 PM,07:03 AM,06:17 AM,05:56 PM,2,9,9,9,8,51,61,0.2,1017,14,10,220,5,Croatia,2020-03-10,1.0,0.0,12.0,0.0
2020-03-11,18,8,0.0,8.7,1,1,84,08:18 PM,07:31 AM,06:15 AM,05:57 PM,4,12,12,12,10,31,58,0.0,1018,18,10,240,6,Croatia,2020-03-11,4.0,0.0,16.0,0.0
2020-03-12,18,9,0.0,8.7,1,1,76,09:38 PM,07:58 AM,06:14 AM,05:58 PM,5,12,13,12,17,5,63,0.0,1018,18,10,233,12,Croatia,2020-03-12,0.0,0.0,16.0,0.0
2020-03-13,12,7,0.0,5.9,1,1,69,10:55 PM,08:27 AM,06:12 AM,06:00 PM,6,8,9,8,13,76,78,2.1,1017,12,7,83,9,Croatia,2020-03-13,0.0,0.0,16.0,0.0
