date,location,new_cases,new_deaths,total_cases,total_deaths,incubationDateStart,incubationDateEnd,maxtempC,mintempC,FeelsLikeC,HeatIndexC,WindChillC,humidity,tempC
2020-02-13 00:00:00,Australia,0.0,,15,,2020-01-30 00:00:00,2020-02-06 00:00:00,33.0,14.5,25.0,25.0,24.5,41.0,33.0
2020-02-14 00:00:00,Australia,0.0,,15,,2020-01-31 00:00:00,2020-02-07 00:00:00,29.5,14.0,22.0,22.0,21.5,45.5,29.5
2020-02-15 00:00:00,Australia,0.0,,15,,2020-02-01 00:00:00,2020-02-08 00:00:00,26.0,14.0,20.0,20.0,20.0,54.0,26.0
2020-02-16 00:00:00,Australia,0.0,,15,,2020-02-02 00:00:00,2020-02-09 00:00:00,25.0,13.5,17.5,18.0,17.5,63.5,25.0
2020-02-17 00:00:00,Australia,0.0,,15,,2020-02-03 00:00:00,2020-02-10 00:00:00,25.0,13.5,17.5,18.0,17.5,73.5,25.0
2020-02-18 00:00:00,Australia,0.0,,15,,2020-02-04 00:00:00,2020-02-11 00:00:00,25.0,14.0,17.5,18.0,17.5,75.5,25.0
2020-02-19 00:00:00,Australia,0.0,,15,,2020-02-05 00:00:00,2020-02-12 00:00:00,25.5,14.5,19.0,19.5,19.0,75.5,25.5
2020-02-20 00:00:00,Australia,0.0,,15,,2020-02-06 00:00:00,2020-02-13 00:00:00,23.5,15.0,19.0,19.0,19.0,78.0,23.5
2020-02-21 00:00:00,Australia,2.0,,17,,2020-02-07 00:00:00,2020-02-14 00:00:00,24.0,15.0,19.0,19.5,19.0,78.0,24.0
2020-02-22 00:00:00,Australia,4.0,,21,,2020-02-08 00:00:00,2020-02-15 00:00:00,26.0,15.5,20.0,20.5,19.5,77.5,26.0
2020-02-23 00:00:00,Australia,1.0,,22,,2020-02-09 00:00:00,2020-02-16 00:00:00,26.0,15.5,20.0,20.5,19.5,77.5,26.0
2020-02-24 00:00:00,Australia,0.0,,22,,2020-02-10 00:00:00,2020-02-17 00:00:00,26.0,15.5,20.5,21.0,20.0,78.5,26.0
2020-02-25 00:00:00,Australia,0.0,,22,,2020-02-11 00:00:00,2020-02-18 00:00:00,26.5,15.5,21.5,21.5,20.5,75.0,26.5
